,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
1129,Lucas Holer,28,Bundesliga,SC Freiburg,Attack,-1500000.0,61.52,66.5,52.06,62.72,34.64,64.79
1130,Silvan Widmer,29,Bundesliga,1.FSV Mainz 05,Defender,-1500000.0,69.83,50.02,60.5,55.53,78.0,85.28
1131,Daniele Rugani,28,Serie A,Juventus FC,Defender,-1500000.0,57.85,14.55,67.77,16.55,80.77,66.33
1132,Romario Baro,22,Primeira Liga,FC Porto,midfield,-1500000.0,43.84,38.4,45.24,46.12,37.93,45.61
1133,Kelvin Yeboah,22,Serie A,Genoa CFC,Attack,-1500000.0,35.17,31.6,40.5,36.9,18.98,31.69
1134,Alexis Claude-Maurice,24,Ligue 1,OGC Nice,midfield,-1500000.0,51.63,62.58,43.71,50.58,29.49,49.67
1135,Abdul Mumin,24,La Liga,Rayo Vallecano,Defender,-1500000.0,61.72,27.12,58.82,31.61,71.82,84.61
1136,Remy Cabella,32,Ligue 1,LOSC Lille,midfield,-1500000.0,85.05,80.53,90.43,87.2,58.15,82.03
1137,Jerome Roussillon,29,Bundesliga,1.FC Union Berlin,Defender,-1500000.0,68.9,27.19,70.4,36.71,83.4,85.09
1138,Waldemar Anton,26,Bundesliga,VfB Stuttgart,Defender,-1500000.0,79.24,61.38,71.41,70.0,88.91,86.64
1139,Gabriel Gudmundsson,23,Ligue 1,LOSC Lille,Defender,-1500000.0,52.98,30.72,41.68,40.27,39.31,90.63
1140,Dominik Kohr,28,Bundesliga,1.FSV Mainz 05,midfield,-1500000.0,69.44,70.18,57.05,70.88,58.49,78.2
1141,Stefan Lainer,29,Bundesliga,Borussia Mönchengladbach,Defender,-1500000.0,68.09,29.12,68.18,35.32,81.18,87.67
1142,Guus Til,24,Eredivisie,PSV Eindhoven,midfield,-1500000.0,72.35,76.59,63.44,73.45,43.67,75.92
1143,Tanguy Nianzou,20,La Liga,Sevilla FC,Defender,-1500000.0,73.06,39.53,72.84,37.83,85.84,94.05
1144,Joseba Zaldua,30,La Liga,Cádiz CF,Defender,-1500000.0,62.14,16.23,71.24,20.62,84.24,72.45
1145,Wataru Endo,29,Bundesliga,VfB Stuttgart,midfield,-1500000.0,77.27,78.93,65.34,79.17,64.53,85.63
1146,Koray Gunter,27,Serie A,Hellas Verona,Defender,-1500000.0,59.34,16.23,67.57,18.96,80.57,70.25
1147,Mark Uth,30,Bundesliga,1.FC Köln,Attack,-1500000.0,12.97,4.97,15.43,22.74,4.07,8.74
1148,Ricardo Esgaio,29,Primeira Liga,Sporting CP,Defender,-1500000.0,62.6,46.99,53.6,54.52,57.7,84.57
1149,Christopher Lenz,27,Bundesliga,Eintracht Frankfurt,Defender,-1500000.0,75.79,41.6,78.14,53.51,91.14,80.39
1150,Nicolas Cozza,23,Bundesliga,VfL Wolfsburg,Defender,-1500000.0,67.91,41.16,70.44,35.64,70.44,89.62
1151,Pedro,35,Serie A,SS Lazio,Attack,-1500000.0,82.3,85.0,66.95,86.3,48.32,90.94
1152,Pawel Dawidowicz,27,Serie A,Hellas Verona,Defender,-1500000.0,69.72,43.54,70.56,46.54,80.56,81.2
1153,Marcel Halstenberg,30,Bundesliga,RB Leipzig,Defender,-1500000.0,74.0,58.74,67.05,65.6,84.55,78.79
1154,Felix Agu,22,Bundesliga,SV Werder Bremen,Defender,-1500000.0,40.04,3.61,39.19,18.51,52.19,50.29
1155,Dylan Bronn,27,Serie A,US Salernitana 1919,Defender,-1500000.0,68.16,41.53,65.78,48.45,75.78,82.63
1156,Darko Lazovic,31,Serie A,Hellas Verona,midfield,-1500000.0,70.37,71.2,61.69,72.77,45.29,75.82
1157,Sebastiaan Bornauw,23,Bundesliga,VfL Wolfsburg,Defender,-1500000.0,71.54,55.39,63.21,51.6,80.71,86.85
1158,Soualiho Meite,28,Primeira Liga,SL Benfica,midfield,-1500000.0,68.95,67.77,56.19,72.22,53.79,79.64
1159,Junior Messias,31,Serie A,AC Milan,Attack,-1500000.0,60.65,63.62,52.66,63.24,33.06,63.07
1160,Ronael Pierre-Gabriel,24,Bundesliga,1.FSV Mainz 05,Defender,-1500000.0,68.77,23.6,72.2,31.19,89.7,81.99
1161,Aster Vranckx,19,Bundesliga,VfL Wolfsburg,midfield,-1500000.0,19.83,18.04,19.28,20.53,14.35,21.47
1162,Daley Sinkgraven,27,La Liga,UD Las Palmas,Defender,-1500000.0,64.97,19.93,71.39,29.47,84.39,74.63
1163,Nicolas Otamendi,34,Primeira Liga,SL Benfica,Defender,-1500000.0,73.0,55.74,52.55,63.03,90.53,82.7
1164,Genki Haraguchi,31,Bundesliga,VfB Stuttgart,midfield,-1500000.0,30.22,22.67,39.82,31.98,18.38,26.43
1165,Akim Zedadka,27,Ligue 1,LOSC Lille,Defender,-1500000.0,50.99,34.27,40.18,42.67,48.93,72.18
1166,Andre Andre,32,Primeira Liga,Vitória Guimarães SC,midfield,-1600000.0,50.02,50.21,47.15,50.0,32.8,52.72
1167,Kevin Lasagna,29,Serie A,Hellas Verona,Attack,-1700000.0,59.42,58.11,50.61,63.5,36.01,65.45
1168,Jaime Mata,33,La Liga,Getafe CF,Attack,-1800000.0,42.57,42.46,37.91,44.12,27.82,45.78
1169,Aaron Cresswell,32,Premier League,West Ham United,Defender,-1800000.0,79.61,48.83,77.08,60.77,90.08,90.5
1170,William Carvalho,30,La Liga,Real Betis Balompié,midfield,-2000000.0,76.02,78.92,62.24,78.07,49.27,84.84
1171,Gianluca Caprari,29,Serie A,AC Monza,Attack,-2000000.0,84.94,86.29,70.47,89.41,47.26,93.59
1172,Carlos Vinicius,27,Premier League,Fulham FC,Attack,-2000000.0,64.43,74.26,47.49,66.24,33.42,69.74
1173,Layvin Kurzawa,29,Ligue 1,Paris Saint-Germain,Defender,-2000000.0,28.12,3.61,3.08,4.06,51.35,53.47
1174,Flavien Tait,29,Ligue 1,Stade Rennais FC,midfield,-2000000.0,71.69,69.95,64.3,75.76,49.65,76.75
1175,Gustavo Assuncao,22,Primeira Liga,FC Famalicão,midfield,-2000000.0,53.31,64.27,40.74,50.96,38.49,57.28
1176,Ruben Garcia,29,La Liga,CA Osasuna,Attack,-2000000.0,70.59,68.65,67.53,73.56,38.28,72.62
1177,Juan Bernat,29,Ligue 1,Paris Saint-Germain,Defender,-2000000.0,65.16,54.68,55.33,60.02,52.56,90.64
1178,Joshua Zirkzee,21,Serie A,Bologna FC 1909,Attack,-2000000.0,49.08,45.11,51.75,52.51,24.4,46.96
1179,Seamus Coleman,33,Premier League,Everton FC,Defender,-2000000.0,65.8,45.54,63.83,47.39,73.83,78.16
1180,David Zima,21,Serie A,Torino FC,Defender,-2000000.0,53.54,14.67,58.41,18.01,71.41,66.33
1181,Mehdi Taremi,30,Primeira Liga,FC Porto,Attack,-2000000.0,80.18,85.61,67.44,83.49,43.47,84.17
1182,Henrikh Mkhitaryan,33,Serie A,Inter Milan,midfield,-2000000.0,74.66,72.82,68.84,77.09,44.96,79.9
1183,Davide Zappacosta,30,Serie A,Atalanta BC,Defender,-2000000.0,75.68,43.66,83.74,48.11,96.74,74.14
1184,Francis Coquelin,31,La Liga,Villarreal CF,midfield,-2000000.0,39.6,41.19,29.46,36.23,40.39,40.57
1185,Chris Wood,30,Premier League,Nottingham Forest,Attack,-2000000.0,40.22,45.64,30.88,40.56,26.44,43.81
1186,Davide Faraoni,30,Serie A,Hellas Verona,Defender,-2000000.0,73.86,44.23,76.41,50.2,89.41,79.42
1187,Pavel Kaderabek,30,Bundesliga,TSG 1899 Hoffenheim,Defender,-2000000.0,80.54,50.48,84.23,55.42,97.23,85.29
1188,Dan Burn,30,Premier League,Newcastle United,Defender,-2000000.0,84.93,68.94,77.49,77.61,87.49,97.12
1189,Melvin Bard,21,Ligue 1,OGC Nice,Defender,-2000000.0,76.87,57.78,55.88,67.24,96.25,86.21
1190,Alberto Moreno,30,La Liga,Villarreal CF,Defender,-2000000.0,73.53,41.67,74.3,51.1,87.3,81.4
1191,Gaetano Castrovilli,25,Serie A,ACF Fiorentina,midfield,-2000000.0,37.31,38.43,35.98,36.92,20.09,37.9
1192,Sebastian Walukiewicz,22,Serie A,FC Empoli,Defender,-2000000.0,56.89,18.14,60.84,21.49,73.84,71.38
1193,Jesus Vazquez,19,La Liga,Valencia CF,Defender,-2000000.0,58.81,16.34,63.04,25.53,76.04,70.62
1194,Steven Berghuis,30,Eredivisie,Ajax Amsterdam,midfield,-2000000.0,74.89,71.13,76.36,77.83,48.26,74.23
1195,Fabio Silva,20,Premier League,Wolverhampton Wanderers,Attack,-2000000.0,40.69,40.24,46.61,41.35,17.13,34.54
1196,Ansgar Knauff,20,Bundesliga,Eintracht Frankfurt,Attack,-2000000.0,54.3,55.94,44.13,56.62,42.52,60.49
1197,Cheikhou Kouyate,32,Premier League,Nottingham Forest,midfield,-2000000.0,48.62,54.15,36.35,47.34,39.87,53.1
1198,Alex Fernandez,29,La Liga,Cádiz CF,midfield,-2000000.0,64.68,68.3,54.76,66.17,35.66,69.47
1199,Andre Gomes,29,Premier League,Everton FC,midfield,-2000000.0,61.73,65.65,52.3,62.29,44.06,66.71
1200,Mamadou Sakho,32,Ligue 1,Montpellier HSC,Defender,-2000000.0,43.85,38.88,24.46,29.34,24.61,82.57
1201,Paulo Bernardo,20,Primeira Liga,SL Benfica,midfield,-2000000.0,36.66,35.26,29.76,31.48,43.36,36.54
1202,Teji Savanier,30,Ligue 1,Montpellier HSC,midfield,-2000000.0,76.48,74.01,74.27,78.59,48.54,79.04
1203,Christophe Herelle,29,Ligue 1,Stade Brestois 29,Defender,-2000000.0,42.34,27.05,26.23,31.44,24.23,84.64
1204,Nicolas Tagliafico,29,Ligue 1,Olympique Lyon,Defender,-2000000.0,76.97,61.38,62.55,70.9,86.09,88.35
1205,Filip Kostic,29,Serie A,Juventus FC,midfield,-2000000.0,4.93,0.0,8.32,2.74,2.2,6.46
1206,Moussa Sissoko,32,Ligue 1,FC Nantes,midfield,-2000000.0,67.61,71.87,53.83,69.16,48.79,75.6
1207,Anthony Elanga,20,Premier League,Manchester United,Attack,-2000000.0,40.0,34.16,44.87,42.43,20.88,38.54
1208,Callum Wilson,30,Premier League,Newcastle United,Attack,-2000000.0,73.34,82.15,57.17,76.44,36.94,77.61
1209,Robert Andrich,27,Bundesliga,Bayer 04 Leverkusen,midfield,-2000000.0,67.72,67.38,53.16,67.29,60.14,76.08
1210,Raoul Bellanova,22,Serie A,Torino FC,Defender,-2000000.0,70.84,30.72,71.97,37.03,84.97,89.41
1211,Kristijan Jakic,25,Bundesliga,Eintracht Frankfurt,midfield,-2000000.0,56.88,58.78,41.56,54.3,52.72,61.72
1212,Andrea Petagna,27,Serie A,AC Monza,Attack,-2000000.0,71.1,73.28,58.22,75.56,39.38,77.33
1213,Angelo Stiller,21,Bundesliga,TSG 1899 Hoffenheim,midfield,-2000000.0,47.66,50.28,41.91,48.5,37.09,49.97
1214,Bamba Dieng,22,Ligue 1,FC Lorient,Attack,-2000000.0,35.16,38.17,29.41,35.5,21.15,37.55
1215,Rafael Toloi,31,Serie A,Atalanta BC,Defender,-2000000.0,78.97,59.24,77.85,67.04,87.85,83.15
1216,Tommaso Pobega,23,Serie A,AC Milan,midfield,-2000000.0,46.53,46.4,41.48,46.41,44.26,49.04
1217,Pizzi,32,Primeira Liga,SC Braga,midfield,-2000000.0,45.92,43.81,53.09,46.36,22.95,40.4
1218,Clement Lenglet,27,La Liga,FC Barcelona,Defender,-2000000.0,78.52,45.17,80.61,53.36,93.61,86.48
1219,Gaetan Laborde,28,Ligue 1,OGC Nice,Attack,-2000000.0,18.09,19.96,27.45,17.12,5.46,7.81
1220,Alexander Djiku,27,Super Lig ,Fenerbahce,Defender,-2000000.0,65.41,56.82,51.39,62.92,61.17,80.72
1221,Jairo Riedewald,25,Premier League,Crystal Palace,midfield,-2000000.0,10.84,11.27,7.43,11.27,7.84,12.97
1222,Giovanni Simeone,27,Serie A,SSC Napoli,Attack,-2000000.0,60.87,69.78,50.23,61.47,31.97,62.0
1223,Ibrahima Sissoko,24,Ligue 1,RC Strasbourg Alsace,midfield,-2000000.0,59.18,56.52,52.03,61.66,52.4,66.13
1224,Irvin Cardona,24,Bundesliga,FC Augsburg,Attack,-2000000.0,21.73,20.57,20.35,22.87,12.47,23.13
1225,Steve Mounie,27,Ligue 1,Stade Brestois 29,Attack,-2000000.0,53.39,56.42,44.5,54.71,31.56,57.94
1226,Eldor Shomurodov,27,Serie A,AS Roma,Attack,-2000000.0,35.86,35.22,34.08,37.27,19.59,36.86
1227,Gerrit Holtmann,27,Bundesliga,VfL Bochum,Attack,-2000000.0,52.39,52.12,45.29,54.99,41.68,57.14
1228,Toma Basic,25,Serie A,SS Lazio,midfield,-2000000.0,57.77,59.07,50.55,59.37,32.22,62.09
1229,Ibrahima Konate,23,Premier League,Liverpool FC,Defender,-2000000.0,76.87,30.84,82.59,36.87,95.59,92.43
1230,Marin Pongracic,24,Serie A,US Lecce,Defender,-2000000.0,58.17,14.43,66.53,17.59,79.53,69.01
1231,Moses Simon,27,Ligue 1,FC Nantes,Attack,-2000000.0,79.86,81.98,68.97,83.1,45.16,85.4
1232,Demarai Gray,26,Premier League,Everton FC,Attack,-2000000.0,77.13,75.87,67.77,80.76,53.01,84.11
1233,Birger Meling,27,Ligue 1,Stade Rennais FC,Defender,-2000000.0,60.12,46.89,48.59,56.01,42.98,88.98
1234,Timothy Fosu-Mensah,24,Bundesliga,Bayer 04 Leverkusen,Defender,-2000000.0,60.23,18.24,65.56,25.02,78.56,71.78
1235,Luca Pellegrini,23,Serie A,Juventus FC,Defender,-2000000.0,50.68,10.82,46.08,34.64,59.08,62.9
1236,Kristoffer Ajer,24,Premier League,Brentford FC,Defender,-2000000.0,61.06,14.43,73.47,17.17,86.47,67.13
1237,Malang Sarr,23,Premier League,Chelsea FC,Defender,-2000000.0,55.44,21.64,52.39,26.71,65.39,77.27
1238,Franco Cervi,28,La Liga,Celta de Vigo,Attack,-2000000.0,81.93,79.13,69.52,86.47,65.26,92.59
1239,Odsonne Edouard,24,Premier League,Crystal Palace,Attack,-2000000.0,79.47,84.37,63.24,82.26,46.88,88.04
1240,Emre Can,28,Bundesliga,Borussia Dortmund,midfield,-2000000.0,62.47,62.6,53.33,63.87,52.65,70.06
1241,Lucas Martinez Quarta,26,Serie A,ACF Fiorentina,Defender,-2000000.0,78.72,49.03,84.23,55.27,84.23,91.14
1242,Cengiz Under,25,Ligue 1,Olympique Marseille,Attack,-2000000.0,87.99,85.68,79.48,92.75,50.67,94.05
1243,Rob Holding,26,Premier League,Arsenal FC,Defender,-2000000.0,59.61,31.88,57.4,28.59,70.4,78.78
1244,Carlos Fernandez,26,La Liga,Real Sociedad,Attack,-2000000.0,55.07,54.82,47.55,57.52,28.85,60.38
1245,Hannes Wolf,23,Bundesliga,Borussia Mönchengladbach,Attack,-2000000.0,43.97,45.32,41.45,45.0,26.94,44.1
1246,Alexis Saelemaekers,23,Serie A,AC Milan,Attack,-2000000.0,72.56,69.13,68.19,77.34,49.98,75.57
1247,Calum Chambers,27,Premier League,Aston Villa,Defender,-2000000.0,64.37,23.45,67.34,29.44,80.34,80.35
1248,Jordan Teze,22,Eredivisie,PSV Eindhoven,Defender,-2000000.0,66.91,47.01,54.01,57.33,67.31,89.01
1249,Trevoh Chalobah,23,Premier League,Chelsea FC,Defender,-2000000.0,72.48,43.37,72.44,51.11,82.44,83.9
1250,Nordi Mukiele,24,Ligue 1,Paris Saint-Germain,Defender,-2000000.0,56.83,32.58,38.89,40.98,54.51,92.93
1251,Timo Baumgartl,26,Eredivisie,PSV Eindhoven,Defender,-2000000.0,30.53,12.9,20.15,17.19,19.14,65.62
1252,Gonzalo Montiel,25,La Liga,Sevilla FC,Defender,-2000000.0,82.68,48.74,82.14,60.58,95.14,92.84
1253,Oliver Burke,25,Bundesliga,SV Werder Bremen,Attack,-2000000.0,39.74,45.13,37.38,40.58,18.13,35.86
1254,Nadiem Amiri,25,Bundesliga,Bayer 04 Leverkusen,midfield,-2000000.0,61.85,61.91,57.7,64.41,37.58,63.39
1255,Roland Sallai,25,Bundesliga,SC Freiburg,Attack,-2000000.0,48.18,43.1,49.19,51.76,27.09,48.69
1256,Jonathan Ikone,24,Serie A,ACF Fiorentina,Attack,-2000000.0,77.51,77.04,65.97,84.09,41.98,82.94
1257,Pape Gueye,23,Ligue 1,Olympique Marseille,midfield,-2000000.0,43.06,37.02,39.15,41.72,43.51,47.86
1258,Serge Aurier,29,Premier League,Nottingham Forest,Defender,-2000000.0,71.17,46.18,71.75,49.19,81.75,81.98
1259,Tino Kadewere,26,Ligue 1,Olympique Lyon,Attack,-2000000.0,35.35,34.9,32.86,36.98,23.88,36.66
1260,Lucas Perrin,23,Ligue 1,RC Strasbourg Alsace,Defender,-2000000.0,59.94,45.26,43.23,52.36,55.19,86.96
1261,Emerson,23,Premier League,West Ham United,Defender,-2000000.0,75.58,50.42,74.9,54.72,84.9,87.79
1262,Nikola Milenkovic,24,Serie A,ACF Fiorentina,Defender,-2000000.0,70.53,51.76,64.18,54.97,74.18,88.78
1263,Wout Weghorst,29,Premier League,Burnley FC,Attack,-2000000.0,41.33,36.48,42.85,43.83,22.16,42.16
1264,Dani Ceballos,25,La Liga,Real Madrid,midfield,-2000000.0,73.97,65.61,74.66,78.12,51.75,77.5
1265,Gonzalo Villar,24,Serie A,AS Roma,midfield,-2200000.0,35.29,33.9,30.04,36.43,27.26,40.79
1266,Hugo Siquet,20,Jupiler Pro League,Cercle Brugge ,Defender,-2200000.0,25.71,1.8,1.53,2.03,49.91,49.1
1267,Frederic Guilbert,27,Ligue 1,RC Strasbourg Alsace,Defender,-2500000.0,58.16,30.83,39.45,38.75,61.41,93.02
1268,Federico Ceccherini,30,Serie A,Hellas Verona,Defender,-2500000.0,74.81,49.93,78.09,45.35,91.09,80.11
1269,Maximilian Philipp,28,Bundesliga,VfL Wolfsburg,Attack,-2500000.0,9.94,4.97,7.91,6.25,19.8,5.8
1270,Colin Dagba,23,Ligue 1,Paris Saint-Germain,Defender,-2500000.0,55.26,36.07,44.78,45.62,56.97,73.67
1271,Kevin Akpoguma,27,Bundesliga,TSG 1899 Hoffenheim,Defender,-2500000.0,74.1,48.74,72.84,56.96,72.84,93.78
1272,Ander Guevara,25,La Liga,Deportivo Alavés,midfield,-2500000.0,21.72,15.78,29.25,22.13,11.89,19.72
1273,Simon Kjaer,33,Serie A,AC Milan,Defender,-2500000.0,67.84,28.86,68.45,33.35,81.45,88.1
1274,Nedim Bajrami,23,Serie A,US Sassuolo,midfield,-2500000.0,46.04,41.36,49.85,48.41,28.02,44.55
1275,Gerzino Nyamsi,25,Ligue 1,RC Strasbourg Alsace,Defender,-2500000.0,49.02,37.63,34.2,41.72,44.53,72.21
1276,Mads Bech Sorensen,23,Premier League,Brentford FC,Defender,-2500000.0,64.04,18.04,74.47,21.49,87.47,72.74
1277,Ludwig Augustinsson,28,La Liga,Sevilla FC,Defender,-2500000.0,36.91,3.97,39.25,4.06,52.25,52.1
1278,Bram Nuytinck,32,Eredivisie,NEC Nijmegen,Defender,-2500000.0,50.87,32.46,30.1,37.39,63.33,70.31
1279,Kevin Kampl,31,Bundesliga,RB Leipzig,midfield,-2500000.0,72.57,80.31,61.16,72.33,38.51,76.47
1280,Sargis Adamyan,29,Bundesliga,1.FC Köln,Attack,-2500000.0,57.09,55.17,53.15,59.93,34.58,60.13
1281,Bryan Gil,21,Premier League,Tottenham Hotspur,Attack,-3000000.0,15.49,7.11,25.22,20.19,5.75,9.42
1282,Papu Gomez,34,La Liga,Sevilla FC,Attack,-3000000.0,48.28,43.82,51.18,50.24,24.1,47.87
1283,Oliver Skipp,21,Premier League,Tottenham Hotspur,midfield,-3000000.0,53.54,56.99,43.46,53.39,44.02,59.75
1284,Curtis Jones,21,Premier League,Liverpool FC,midfield,-3000000.0,48.76,49.45,47.41,48.87,49.32,46.53
1285,Michael Frey,28,Jupiler Pro League,Royal Antwerp FC,Attack,-3000000.0,34.27,32.39,31.19,36.22,22.25,37.27
1286,Alfonso Pedraza,26,La Liga,Villarreal CF,Defender,-3000000.0,70.65,45.51,64.29,57.29,74.29,86.75
1287,Maxence Lacroix,22,Bundesliga,VfL Wolfsburg,Defender,-3000000.0,72.56,51.71,72.81,48.09,85.81,79.89
1288,Marko Grujic,26,Primeira Liga,FC Porto,midfield,-3000000.0,58.61,55.21,50.72,58.32,59.07,61.83
1289,Jacob Bruun Larsen,23,Bundesliga,TSG 1899 Hoffenheim,Attack,-3000000.0,32.62,32.41,36.92,32.56,23.52,28.58
1290,Jean-Philippe Mateta,25,Premier League,Crystal Palace,Attack,-3000000.0,62.85,67.26,46.22,65.55,35.15,72.37
1291,Ander Barrenetxea,20,La Liga,Real Sociedad,Attack,-3000000.0,56.46,59.47,50.25,57.86,38.46,58.24
1292,Jean Lucas,24,Ligue 1,AS Monaco,midfield,-3000000.0,19.67,11.96,17.77,14.72,31.59,14.6
1293,Benjamin Andre,31,Ligue 1,LOSC Lille,midfield,-3000000.0,84.34,76.69,63.63,79.75,90.2,90.71
1294,Sasa Lukic,25,Premier League,Fulham FC,midfield,-3000000.0,26.74,24.91,23.55,27.87,20.06,30.62
1295,Sebastian Coates,31,Primeira Liga,Sporting CP,Defender,-3000000.0,61.63,55.01,52.96,61.61,53.37,76.52
1296,Maxim Leitsch,24,Bundesliga,1.FSV Mainz 05,Defender,-3000000.0,56.48,14.55,64.26,17.96,77.26,66.44
1297,Ivan Rakitic,34,La Liga,Sevilla FC,midfield,-3000000.0,72.77,68.31,67.02,75.9,51.36,79.84
1298,Fabien Centonze,26,Ligue 1,FC Nantes,Defender,-3000000.0,61.88,39.68,45.89,48.97,72.79,79.88
1299,Tom Cairney,31,Premier League,Fulham FC,midfield,-3000000.0,79.27,77.5,74.44,82.21,46.35,82.92
1300,Michail Antonio,32,Premier League,West Ham United,Attack,-3000000.0,75.22,79.85,58.75,79.76,40.5,82.52
1301,Cedric Soares,30,Premier League,Arsenal FC,Defender,-3000000.0,54.87,9.02,66.48,14.54,79.48,59.0
1302,Xeka,27,Ligue 1,Stade Rennais FC,midfield,-3000000.0,21.84,15.78,19.24,19.17,28.8,20.13
1303,Maxwel Cornet,25,Premier League,West Ham United,Attack,-3000000.0,32.86,29.5,32.95,34.62,26.1,34.36
1304,Alex Moreno,29,Premier League,Aston Villa,Defender,-3000000.0,73.66,25.54,82.78,32.68,95.78,83.42
1305,Ben Chilwell,25,Premier League,Chelsea FC,Defender,-3000000.0,73.94,45.38,77.2,50.31,90.2,78.05
1306,Ivan Perisic,33,Premier League,Tottenham Hotspur,midfield,-3000000.0,79.56,76.4,71.38,83.61,62.45,86.85
1307,Emanuel Vignato,21,Serie A,Bologna FC 1909,Attack,-3000000.0,19.76,15.95,22.71,21.02,16.18,19.1
1308,Unai Nunez,25,La Liga,Celta de Vigo,Defender,-3000000.0,77.07,63.28,66.89,72.35,76.89,92.16
1309,Gianluca Mancini,26,Serie A,AS Roma,Defender,-3000000.0,75.49,63.58,65.52,71.54,75.52,89.37
1310,Niklas Dorsch,24,Bundesliga,FC Augsburg,midfield,-3000000.0,28.59,22.54,24.69,25.86,35.89,27.91
1311,Aissa Mandi,30,La Liga,Villarreal CF,Defender,-3000000.0,65.81,36.18,68.04,41.99,81.04,72.17
1312,Adrien Thomasson,28,Ligue 1,RC Lens,midfield,-3000000.0,51.88,56.55,49.18,51.29,32.35,50.5
1313,Thomas Partey,29,Premier League,Arsenal FC,midfield,-3000000.0,76.69,78.21,64.63,78.65,57.3,85.27
1314,Ruben Aguilar,29,Ligue 1,AS Monaco,Defender,-3000000.0,46.24,34.38,38.17,41.71,31.6,70.71
1315,Maximilian Arnold,28,Bundesliga,VfL Wolfsburg,midfield,-3000000.0,74.55,74.88,64.29,76.95,60.31,82.07
1316,Jerry St. Juste,25,Primeira Liga,Sporting CP,Defender,-3000000.0,51.9,41.91,46.73,46.3,35.58,72.66
1317,Darwin Machis,29,La Liga,Cádiz CF,Attack,-3000000.0,28.62,23.29,34.27,30.62,14.35,26.32
1318,Vladimir Coufal,29,Premier League,West Ham United,Defender,-3000000.0,75.65,46.89,77.55,57.47,77.55,90.01
1319,Jorge Cuenca,22,La Liga,Villarreal CF,Defender,-3000000.0,55.27,16.23,59.3,20.04,72.3,69.45
1320,Tyrick Mitchell,22,Premier League,Crystal Palace,Defender,-3000000.0,82.38,63.15,76.34,73.54,86.34,93.31
1321,Mattia De Sciglio,29,Serie A,Juventus FC,Defender,-3000000.0,69.72,28.86,71.83,35.3,84.83,86.91
1322,Domingos Duarte,27,La Liga,Getafe CF,Defender,-3000000.0,72.82,54.25,69.29,62.13,79.29,80.57
1323,Juanmi,29,La Liga,Real Betis Balompié,Attack,-3000000.0,52.79,59.65,42.6,53.76,30.06,55.13
1324,Alex Sandro,31,Serie A,Juventus FC,Defender,-3000000.0,80.3,43.29,84.99,53.07,97.99,85.15
1325,Dimitri Payet,35,Ligue 1,Olympique Marseille,midfield,-3200000.0,64.69,58.58,72.52,68.56,30.49,59.11
1326,Alessandro Florenzi,31,Serie A,AC Milan,Defender,-3500000.0,53.24,9.31,60.93,18.19,73.93,59.9
1327,Oscar Mingueza,23,La Liga,Celta de Vigo,Defender,-3500000.0,71.56,36.07,79.24,43.93,89.24,73.82
1328,Willy Boly,31,Premier League,Nottingham Forest,Defender,-3500000.0,62.38,18.14,70.82,21.95,83.82,72.93
1329,Pedro Neto,22,Premier League,Wolverhampton Wanderers,Attack,-4000000.0,45.38,38.6,48.93,49.05,29.39,44.94
1330,Igor,24,Serie A,ACF Fiorentina,Defender,-4000000.0,73.55,46.89,69.01,54.83,79.01,91.34
1331,Morgan Sanson,27,Premier League,Aston Villa,midfield,-4000000.0,45.07,40.72,46.06,46.34,36.53,47.18
1332,Pablo Rosario,25,Ligue 1,OGC Nice,midfield,-4000000.0,69.73,67.72,58.86,73.15,51.96,79.18
1333,Stephy Mavididi,24,Ligue 1,Montpellier HSC,Attack,-4000000.0,63.1,63.32,56.06,66.3,42.8,66.73
1334,Jarrod Bowen,25,Premier League,West Ham United,Attack,-4000000.0,87.62,88.42,73.19,92.56,51.57,96.32
1335,Kieran Trippier,31,Premier League,Newcastle United,Defender,-4000000.0,83.48,69.95,75.31,85.5,75.31,97.8
1336,Thilo Kehrer,25,Premier League,West Ham United,Defender,-4000000.0,68.89,46.93,60.76,55.11,70.76,88.95
1337,Victor Lindelof,28,Premier League,Manchester United,Defender,-4000000.0,72.53,34.27,71.43,39.34,84.43,94.92
1338,Suso,28,La Liga,Sevilla FC,Attack,-4000000.0,65.45,59.02,70.07,70.03,38.53,62.67
1339,Lucas Vazquez,31,La Liga,Real Madrid,Defender,-4000000.0,68.76,52.25,67.03,51.9,77.03,78.75
1340,Florent Mollet,30,Ligue 1,FC Nantes,midfield,-4000000.0,49.13,44.17,54.07,50.6,28.42,47.67
1341,Jordan Amavi,28,Ligue 1,Olympique Marseille,Defender,-4000000.0,24.17,7.21,12.15,11.12,10.41,62.99
1342,Renato Tapia,27,La Liga,Celta de Vigo,midfield,-4000000.0,62.27,61.05,49.92,64.52,48.98,73.61
1343,Roberto Gagliardini,28,Serie A,AC Monza,midfield,-4000000.0,44.34,40.72,41.07,45.75,34.97,49.79
1344,Angel Di Maria,34,Primeira Liga,SL Benfica,Attack,-4000000.0,67.63,61.75,71.93,71.07,32.19,65.76
1345,Razvan Marin,26,Serie A,FC Empoli,midfield,-4000000.0,77.55,75.98,69.79,80.1,52.71,84.31
1346,Ryan Fraser,28,Premier League,Newcastle United,Attack,-4000000.0,20.16,15.95,24.82,20.9,14.83,18.98
